global_scenario_id,local_scenario_id,source_folder,seed,thrust_angle_deg,mu,a,e,nu,m,I_diag,N,tf,epsilon,rs,n_agents,x0_r,x0_v,x0_phi,x0_omega,xf_r,xf_v,xf_phi,xf_omega
34,34,baseline_20260822_180915,1787418588,2.0,398000000000000.0,8227640.56008567,0.02986244475410959,0.03490658503988659,424.7912688306483,"[34165.24451826203, 200333.42569427512, 203661.69174447595]",37,375.344738637098,5.87629260160805e-06,"[[-5.922261240965737, 7.429400401938651, -2.238620902632716], [10.20132174544564, 0.8294848606941231, 26.313403642382898], [1.7995753095948657, -45.99343817960643, 15.60907314891511], [-4.550290585228917, -3.8098120092662078, 0.7081403274226089], [-5.076650206860354, 8.671696334558645, -2.4726280831774217], [-8.153016175694223, -4.832975198794846, -0.1582759564820954]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-575.6478841128582, 140.45647094159935, 63.40939696582046]","[0, 0, 0]","[-1.5521587816437887, 1.4336473487087324, 1.7510960839855787]","[0, 0, 0]"
35,35,baseline_20260822_180915,1787418589,2.0,398000000000000.0,8074912.487169825,0.017215001686281275,0.03490658503988659,85.23781431816384,"[47697.30419569163, 101180.78239396046, 109269.54426070064]",68,686.3106210600624,8.221515440624223e-05,"[[-8.286326874348678, 31.467935257485646, -18.041702980202793], [3.6147836133152387, -25.32896834695765, -31.48432015049349], [12.285537256888668, 27.182116171503704, -12.046113850086833], [-13.059773626142256, 7.393057226897786, 21.4067766245426], [7.230138562829226, 4.977165800513484, -0.018888411380534237], [19.92335764682985, -24.4231874848634, -22.1317893040077]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[256.40591049234104, -490.7019434016285, 593.2170866077498]","[0, 0, 0]","[0.1769259171958546, 1.515714645802236, -0.04478024952017299]","[0, 0, 0]"
36,36,baseline_20260822_180915,1787418590,2.0,398000000000000.0,7414087.856848866,0.2791135148221406,0.03490658503988659,87.07767152525405,"[50429.361135338215, 62234.3324392475, 71391.36549457427]",30,308.453168070078,7.150059086993804e-05,"[[18.516026427600945, 5.9264308036690405, -9.450921497445371], [-2.3777030668775403, 22.257723601015186, -13.779186638514622], [12.228025965980569, -24.589656783151305, -22.40658642536653], [7.0975380470817315, 0.5427648375736441, -3.1930279953762155], [7.949133666380977, -13.162503306207888, -1.3450574548299894], [4.148385519758103, 0.41749973846681365, -2.769101778863206]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-173.66639137513639, -258.845542098146, 525.7447508746441]","[0, 0, 0]","[-2.565741172602103, -0.5738477220880716, -0.2820653980759335]","[0, 0, 0]"
37,37,baseline_20260822_180915,1787418591,2.0,398000000000000.0,7957924.629868705,0.013925329442100965,0.03490658503988659,481.4083564371003,"[282925.3421717619, 651104.8236174621, 809311.7624582872]",33,333.2128419175632,4.774662121489463e-05,"[[26.81214518974268, -24.46513898353273, -6.628622059500573], [-6.053492324285113, -15.905890977113021, -35.054219605097245], [-26.793640137673684, 26.35680016294113, 0.5370317631247101], [-25.208525397197143, -9.249312296802506, 2.3476597458827], [-42.12185417272904, -0.6135088557598056, 7.035641159973754], [7.323530126485893, -7.084927773881167, -7.040624581865317]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[442.36466981294035, 548.527769733648, 28.680933475551566]","[0, 0, 0]","[-1.6245234764866812, -1.2888741144425058, 1.8120133791956503]","[0, 0, 0]"
38,38,baseline_20260822_180915,1787418592,2.0,398000000000000.0,7748771.702159878,0.283089459718103,0.03490658503988659,272.31840983102114,"[113601.4923564246, 237025.68425245924, 259963.24658923768]",45,454.66743790398425,4.713171196711621e-05,"[[-4.892237333363535, -8.50498880091403, 9.997953538519663], [-26.50647574300328, 39.84571617966587, 8.933399104272054], [35.76019691500251, 8.546855566821007, 9.183753576760687], [-8.34230456998474, -5.804416883027191, -1.4912694626201206], [31.048521630201886, 17.399735507099976, -2.3358198831415824], [-7.0778568105536595, 38.06245486760843, 3.452442060550569]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-61.069363402317485, -170.97100798716224, -26.53594574200155]","[0, 0, 0]","[-0.161683672982542, 2.2091424194496723, 1.5767166519183353]","[0, 0, 0]"
39,39,baseline_20260822_180915,1787418593,2.0,398000000000000.0,7932872.254940784,0.22748063359340379,0.03490658503988659,362.5195893043773,"[192584.5476105497, 419897.0380687164, 580405.7388835673]",66,668.4224661814587,9.14791709124333e-05,"[[20.61086210439016, -3.406625336048575, -6.3872876933775755], [-9.64799439860073, -21.01095234952929, -35.64569506829058], [-11.634568877690489, 20.517730066769154, 23.838957080356177], [-8.890271073063294, -40.778573816531505, -10.655060184280575], [13.120235095124423, -40.83810721038639, 15.041794823157455], [30.447100066285053, 4.546686792715239, 25.95968595505692]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[310.84950307392876, -440.21390776507025, 369.3490472117257]","[0, 0, 0]","[0.6707484396748669, 1.2821313884350467, 0.2006809844609607]","[0, 0, 0]"
40,40,baseline_20260822_180915,1787418594,2.0,398000000000000.0,7677642.87503,0.24298151531687745,0.03490658503988659,274.64137468010586,"[185683.98394210433, 189730.46322274473, 274659.8741015593]",69,690.0640678975667,8.02610611729439e-05,"[[1.413337076126303, -3.019620553208543, -34.08620251559855], [4.165940434475552, 0.47660053987670137, 16.379335906570958], [18.104351677446434, 25.900071120619838, 29.414168655594136], [-1.1126747281168992, 5.1971567467766935, 4.87454354075943], [12.209256592003932, 4.88718747146358, -9.63283392190667], [-3.489347304098314, 9.793443680957195, -30.782573469120717]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[695.239202864894, 186.8195721516236, -146.69382167703918]","[0, 0, 0]","[-0.8246321327021474, 0.5692688197659646, -2.2983332594916783]","[0, 0, 0]"
41,41,baseline_20260822_180915,1787418595,2.5,398000000000000.0,7179048.25171103,0.2602800884728059,0.04363323129985824,246.05389434750663,"[149069.90946429313, 301599.3560812448, 425736.92024737294]",68,688.4630129080355,1.4869549377105077e-05,"[[-10.27103663642326, 33.60123195022366, -10.089868554351925], [-22.90735358466598, 2.6096656891093746, -23.229012625258434], [-21.173264307573476, -23.2895953183848, 4.295699690219102], [-2.2981801672469757, -21.530039656870976, 7.4729552128702394], [-13.746411844687366, 9.676029433153285, -7.470511257989084], [3.9344761576051037, 1.5997182373515522, 42.02762133529664]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-275.91508461345893, -745.9939676486168, -90.74474001856694]","[0, 0, 0]","[2.020155027760171, 0.8568829649262696, -2.1875062746293836]","[0, 0, 0]"
42,42,baseline_20260822_180915,1787418596,2.5,398000000000000.0,7077484.112462092,0.13439563379924924,0.04363323129985824,40.92276186444686,"[22210.12395433049, 55317.88312254177, 68376.74423788802]",84,846.2177068568046,3.35252426178607e-05,"[[16.46069947524739, -44.73629189883863, -8.966872153467879], [-5.991353011280904, 17.410347417447607, 22.80202858379859], [1.393153442298339, 15.843381458917396, -10.834803557251394], [5.413943590131786, 11.139486531163392, 8.344956185905701], [16.75010727887683, -33.50398726581028, 30.323413403813763], [-1.8975056703153763, 1.6092433232577066, -13.087898098604915]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[357.039761974251, 484.2756285381084, -706.5433226578397]","[0, 0, 0]","[-0.3495005096986967, -0.1786298220488873, 2.9832016752807813]","[0, 0, 0]"
43,43,baseline_20260822_180915,1787418597,2.5,398000000000000.0,8145398.399680851,0.037811603415745756,0.04363323129985824,298.3559259013046,"[120181.13956560445, 403302.5555269518, 412646.76057401317]",63,637.2661372742971,6.47546803774342e-05,"[[18.3953468913428, -0.16682997147178913, 3.6731817165317975], [-8.228736136872072, 38.10662099271944, -6.266435964358223], [-7.009167916204638, -16.32892229852267, 26.614419323200963], [-38.321711887157754, 16.91286583587655, 3.451821995719172], [-1.9812185827581887, 6.800131341008513, 1.265504769415422], [5.320028901269861, -19.2896460598357, -26.66529772651951]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[120.51444687525162, 126.75449740138865, 265.6943024927782]","[0, 0, 0]","[0.28929089481031356, -0.08867994397648828, 3.0763737755110174]","[0, 0, 0]"
44,44,baseline_20260822_180915,1787418598,2.5,398000000000000.0,7031206.571123193,0.04705943654860621,0.04363323129985824,86.28034889456649,"[84227.39773830956, 116284.14902593009, 119886.03446008285]",77,770.9423171350381,5.4201759621082044e-05,"[[3.826114531842601, 21.738936676534795, 6.298334158355503], [-34.24637658915902, 17.175592535069615, 20.479358464849835], [-1.081841173024151, 8.357166208007017, 1.247632714705944], [29.720530673327918, 33.9153925997993, -5.945677076737784], [18.928154655531788, -13.237868240866948, 1.3831337496581904], [24.269138506222436, 4.587061154878497, -17.176015406761604]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-333.88467853374294, 17.601952461543586, -258.8529192170646]","[0, 0, 0]","[0.8099538843996871, 1.5196711382643193, 1.6422658681023483]","[0, 0, 0]"
45,45,baseline_20260822_180915,1787418599,2.5,398000000000000.0,7386747.593161061,0.25636479712439997,0.04363323129985824,453.3135798228693,"[353807.8190534104, 410095.4802716538, 492085.0826162358]",48,485.99586747592446,2.1330529015670463e-06,"[[20.06859848319006, 13.162080127182746, -11.532514599987067], [8.28683487165686, -2.7363729468027675, 5.775429274847783], [20.652844146422694, -1.354155139331755, -14.280235326991702], [-41.39514952256192, 15.479275045292832, 17.75843048775043], [35.73331562968326, -3.510713691287536, 16.154103964989623], [28.516372419049766, -4.078921820086141, 24.012589561456675]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[31.243726859821027, 135.1080484204294, -353.72629980777805]","[0, 0, 0]","[0.2180157402782316, -0.4608488752130133, 1.5283943810841096]","[0, 0, 0]"
46,46,baseline_20260822_180915,1787418600,2.5,398000000000000.0,8270841.810337323,0.1436315119391966,0.04363323129985824,44.74863575821434,"[33145.08870040038, 45288.160786629676, 59398.300886473924]",64,648.2733377702552,5.763136474813924e-05,"[[28.937082457296395, 27.052623471235545, 2.279446697118006], [-14.800497339953692, -24.96006160707072, 10.870293402309246], [-23.648525489330336, -0.9805752721356412, -3.4719872642529985], [-11.023677898430742, 10.255180662760118, 1.3653726443762495], [-13.265279464899459, 10.96102026055181, -29.143714096976623], [-0.2430251218442372, -11.289542779003975, -1.6150239491776464]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-322.41787600551567, -339.47304674483377, -125.05213331795882]","[0, 0, 0]","[-0.6999774537636263, 0.9291003459186844, -1.422596002521649]","[0, 0, 0]"
47,47,baseline_20260822_180915,1787418601,2.5,398000000000000.0,7514817.850772435,0.2144390260281168,0.04363323129985824,176.4724498846969,"[43476.20800381804, 133745.3864624687, 157198.7067368765]",89,897.5985671057892,7.206030546744996e-05,"[[3.693273432817595, 2.6803902067313086, -8.599191117860457], [7.942772453291331, 3.6749507517006497, 37.92629891753645], [-18.432913810187436, -31.403775518064243, 11.552602665258362], [5.736032311069596, -1.8452735595966197, -8.622123925674437], [-9.426505726155707, 12.569491001285238, 2.7664792726012832], [-5.690708093966809, 3.1650470911495403, 2.7210712090455877]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[63.3878955841494, -3.800257477253829, 51.378636346256904]","[0, 0, 0]","[-0.03713014330572506, 1.851258613787779, -1.584125727365003]","[0, 0, 0]"
48,48,baseline_20260822_180915,1787418602,2.5,398000000000000.0,7932599.885389451,0.2266349057431105,0.04363323129985824,416.63337690294804,"[196799.9240185349, 371472.6198838131, 516785.2565908021]",65,653.3920000424978,5.42236854742189e-05,"[[-13.855138614548187, -1.699544526089037, -3.5239245423107857], [-3.4530379990849083, -3.1166593788189814, 23.22581253185264], [7.688162981670556, 6.725495847358383, -1.0253307501408837], [24.738502779499754, 2.332097813160489, 16.424401436210733], [-15.682054450802266, 15.918610700883317, -19.275208058647532], [-6.52851202325529, 17.66277494002209, 33.21384608538807]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-373.35560189734537, -266.04875081059174, 209.06277000951602]","[0, 0, 0]","[-1.682144801718811, -2.070204264953217, 1.116995792114525]","[0, 0, 0]"
49,49,baseline_20260822_180915,1787418603,2.5,398000000000000.0,7517064.313763274,0.0814629920618993,0.04363323129985824,483.4687501319033,"[393364.03864930687, 522261.2599521557, 909558.7151911497]",76,768.3645048336698,6.96299400810291e-05,"[[36.84975789795822, 22.89184086766397, -20.944449045005573], [-6.256488061671216, 10.187415356038194, 0.6704138766665027], [19.422877665153802, -3.8897598934225477, 16.003700253100334], [36.08015803112529, -8.82113291165403, -21.5201024929906], [36.27888481512192, -1.6112784873227646, -3.2521777222173003], [20.066299544342108, 17.152302996831107, -6.904850791211307]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[507.99811110850044, -728.2834179378765, 75.97030851252005]","[0, 0, 0]","[1.2236290910309573, -0.8841685453240606, 1.8151224003601023]","[0, 0, 0]"
50,50,baseline_20260822_180915,1787418604,2.5,398000000000000.0,7684681.533373196,0.06658886017301333,0.04363323129985824,363.01039266229304,"[146895.51194556904, 471545.75042893033, 585311.1934977128]",64,643.7365389380885,6.80141810535411e-05,"[[-11.13831170303219, -4.202504054920576, 1.6456379670030623], [14.810450107118221, -5.727902379864952, 15.020941245133884], [-28.069386364331827, 5.513169468275691, 1.6016364332820163], [-1.516134411582291, -4.118535746319021, 8.594418625624932], [7.4600167786945555, 26.05346788156199, -3.381744934608743], [40.34806480720862, -6.103189433245691, 0.8151058540689257]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-51.66362232738654, -43.74069622751527, 28.933348695939006]","[0, 0, 0]","[-0.5615050578516302, 0.24970411606143197, 0.5254337387124188]","[0, 0, 0]"
51,51,baseline_20260822_180915,1787418605,2.5,398000000000000.0,7345691.480991903,0.2532722338012787,0.04363323129985824,349.71518893795815,"[120230.61777259, 209067.30182706486, 328400.0031755722]",72,722.7613978466411,7.826884704858836e-05,"[[31.405363493151615, -14.725506283255466, -19.760923610404035], [4.380763601051008, -0.9480325895236764, 8.381860272607994], [-0.6350190671708579, 12.369970313160497, -1.30591298004851], [13.681244490431625, 6.060619027077861, -8.971436913942691], [0.8841924106341859, 19.30021335276414, -40.19144159275954], [3.0520556372888104, 16.0920119831437, 7.183127744665109]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[2.1966350786337436, -3.6079113250538324, -23.483882190000468]","[0, 0, 0]","[0.4148310534840121, -0.29152913486554816, -0.5673320693207667]","[0, 0, 0]"
52,52,baseline_20260822_180915,1787418606,2.5,398000000000000.0,7037884.323899407,0.27358116410186056,0.04363323129985824,304.0441965911085,"[319225.67157647485, 331699.3666789025, 383163.79837333097]",57,570.2613643756729,2.2219287714495978e-05,"[[-10.354826020078002, 0.7398531294869264, -1.5980508934476243], [-33.312685929192554, -3.722252682918321, -26.358335587455826], [8.832564688674836, -0.9871746894914167, -4.216051680919197], [-2.001124965668974, -17.580557913209933, -30.355235807564938], [-14.684421458044751, -36.20001746118405, -5.558977059428842], [12.237279350597854, -5.224381768605145, 45.74880026837536]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[87.70862020041264, -127.21856092185936, -34.31202644475392]","[0, 0, 0]","[1.6348049502858657, 0.09836621988725561, 1.9629361396790437]","[0, 0, 0]"
53,53,baseline_20260822_180915,1787418607,2.5,398000000000000.0,7879662.198613981,0.12068374328911413,0.04363323129985824,116.2628606467416,"[119857.23353482092, 148453.61191537642, 248636.91075980294]",69,692.5141214780787,5.944505972560074e-05,"[[-32.79342661929548, 30.015581154674813, 22.777129044396613], [-28.793057391414052, -2.425896346687788, 20.063893308087714], [10.892618257093803, -35.821713072869834, 29.63348152083712], [6.759176203020329, -22.799897989002638, 5.983399715946883], [-3.3037596119375117, 11.853675427888225, 29.480175987099027], [5.991082539791674, -16.96541951035151, 2.3486942805202595]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-670.4848285321078, 43.771377631315616, -146.20425728130783]","[0, 0, 0]","[1.3768686020664773, -0.3429685672031016, 0.06646033763212274]","[0, 0, 0]"
54,54,baseline_20260822_180915,1787418608,2.5,398000000000000.0,7163378.996485602,0.068968252762364,0.04363323129985824,186.22123866957344,"[97154.27662732887, 115975.41151833169, 165478.73528378527]",57,576.4304139371552,5.234381640794098e-05,"[[20.89726959403594, 1.9570010413237267, -36.87556556531395], [21.21896964134398, -19.75987396113869, -10.017226919273016], [-17.44920075890286, -12.888964013350202, -35.78131221532792], [-27.217764070539808, 30.808292892386206, 25.528023671371027], [3.7651041332989044, -10.489760641327408, -8.798300412680106], [0.9527266638084414, -10.071972832296636, 4.952722981690132]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[476.6017116070096, 60.64281788613207, 268.57073185578565]","[0, 0, 0]","[-0.1283241277984369, -0.1528765152226661, -0.5768490944923238]","[0, 0, 0]"
55,55,baseline_20260822_180915,1787418609,2.5,398000000000000.0,7780938.060698092,0.12104172809520324,0.04363323129985824,394.5392465423027,"[124345.1859431686, 504983.0339706878, 624100.1901072629]",87,879.1421695886373,1.1713615199961089e-05,"[[-18.49667359803177, 0.6443018601754394, 1.4843382364465085], [-32.36456793302157, -25.217507100705443, -1.436921517052816], [-22.2640862325571, 19.820803640603692, -11.138211553526263], [-28.19064905733474, -11.050307820591001, -9.132060577777374], [-6.799907600439947, -3.5884083399197793, -8.875811253291385], [9.099158037824093, 23.61486132901973, 13.574571223610532]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[66.07299425090227, 197.73788547990213, 20.783506555252135]","[0, 0, 0]","[-0.5729813751080377, 2.3787434256931816, -1.2421898846359871]","[0, 0, 0]"
56,56,baseline_20260822_180915,1787418610,2.5,398000000000000.0,7539607.881532151,0.2685499400463901,0.04363323129985824,47.968658999599604,"[34886.99371555472, 46813.71854789539, 50608.68661673793]",85,852.3393270743294,3.416191919138173e-05,"[[-18.052130570235736, 12.425744533246384, 2.01786171217224], [2.1554489652676683, 6.092907261608408, -4.565260920509208], [-0.927975366988573, 37.865196695045356, 5.646013769844205], [-3.3706430899206747, 35.01717807596467, 1.134603836326975], [17.53316530190895, 10.701371063612186, 5.6694894707709755], [-4.287022338605515, 29.350330425312038, -4.718768050937419]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-128.22124797596365, 213.30733342905344, -49.33921876565734]","[0, 0, 0]","[1.12317147429784, -2.0654998212468003, -0.5879349637168753]","[0, 0, 0]"
57,57,baseline_20260822_180915,1787418611,2.5,398000000000000.0,7152570.683827412,0.13970104816629383,0.04363323129985824,470.0146271123989,"[68329.38931343627, 171133.94945202692, 203495.04316868444]",69,693.5995630929357,5.848587521917832e-06,"[[-21.706195894590522, -4.579857041232278, -24.588200287129162], [0.36534541369519036, 15.422728449149956, 21.742600608297302], [17.015261322073556, 0.9206852283000395, 8.50362378436365], [0.5018224227905064, 8.24377165371712, 2.3871107023803453], [-29.06176775036317, 8.515761912688383, 2.6992567602619624], [-19.46752726568832, 4.842066743437014, -8.768177881745652]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-81.52885476484578, -183.27008383699587, 616.1109107991944]","[0, 0, 0]","[-1.699784204104638, 0.7565880596319482, -0.42903292907087665]","[0, 0, 0]"
58,58,baseline_20260822_180915,1787418612,2.5,398000000000000.0,8244898.670997791,0.1987337867987326,0.04363323129985824,31.91475126683575,"[35079.57867612529, 52826.761423917866, 53486.44028420723]",35,352.133679443653,7.297625174085104e-05,"[[9.464248952007631, 27.633096376619406, 15.650929862238236], [-5.556404983831383, 2.8329167931683514, -48.47246452227787], [2.9889500469501153, 13.93007691571396, -25.656533874185442], [-7.596793015702365, -0.06962790903530415, 1.3855576748920662], [5.278025378848828, -21.590230945945777, -8.210908256650672], [35.130896165689244, -25.238400428058327, -17.668359893510075]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[163.4505277818335, 130.81511702129535, -177.71571164014745]","[0, 0, 0]","[0.9388980709415116, 2.4745615275231287, 1.4464553801443394]","[0, 0, 0]"
59,59,baseline_20260822_180915,1787418613,2.5,398000000000000.0,8093564.426723328,0.012095040123528415,0.04363323129985824,20.138598230339632,"[12099.268826073614, 13088.162296610415, 14132.148924997298]",73,737.4565590188334,8.297633761767115e-05,"[[26.915046025974714, -33.32940316332706, -3.5827357127632053], [-39.03146071360742, 17.31747757839707, 14.09838037872633], [18.028672773182574, -6.994230020331804, -10.85775185053072], [9.710287197800506, 37.86822510484589, 28.668742362218566], [-27.086279433782146, 0.6662442703247493, 17.495962301535826], [1.7240461475687923, -22.31078474027911, 12.330389999891826]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[112.55470829176699, 163.58726123998062, -183.21362489708375]","[0, 0, 0]","[0.8277461861162231, -0.7802089476818656, -2.0867563798460607]","[0, 0, 0]"
60,60,baseline_20260822_180915,1787418614,2.5,398000000000000.0,8114583.305891769,0.06930276573346728,0.04363323129985824,338.01862183105646,"[215858.83545320085, 415398.4951107311, 583047.6185339639]",78,782.4798994226813,4.784159896983453e-05,"[[8.70491587564276, 28.087015576713767, -24.86616884614237], [11.894816392263282, -23.066685000844693, -21.05099241562811], [12.528785996925025, -8.624746841169205, -28.888655704990843], [-30.057428312518017, -21.673687187290454, 23.059585786252335], [28.756203302168366, -28.129753350729004, 3.1607553550780745], [5.648996777188513, -4.776485486815168, -7.522853057907935]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-22.564192431836815, 110.5114969217394, -141.8931849197595]","[0, 0, 0]","[0.01915045045391357, 0.8677788535355744, 0.3393683739708425]","[0, 0, 0]"
61,61,baseline_20260822_180915,1787418615,5.0,398000000000000.0,7819914.650868201,0.24844126498683136,0.08726646259971647,293.6424666356572,"[270733.4793990016, 282363.80878131115, 397620.34900094185]",88,887.947857693546,5.780048219607047e-05,"[[13.586709071333955, -6.703278040895265, 9.05517308041698], [-5.798318338254249, 7.005997021402543, -0.37462319360303037], [0.5513587363020624, -30.846099855556883, -20.853425002072935], [9.882760666704504, 17.055488022595238, -1.7053668623044849], [-8.439033788148357, -15.963260910431762, 18.81533671699315], [30.086621789031273, 12.31707782987806, 34.64154111770534]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-218.65336421792713, 149.04945656917047, -47.30216661601559]","[0, 0, 0]","[-0.9210250816282485, 0.05275339084930556, -0.8262143032349095]","[0, 0, 0]"
62,62,baseline_20260822_180915,1787418616,5.0,398000000000000.0,7204111.064557022,0.06634134326984098,0.08726646259971647,279.3767319375899,"[54252.8037678308, 136923.52555338506, 172433.20651389362]",41,412.29980837370215,7.483945069096262e-05,"[[0.5964375841153536, 0.15146400558467293, -13.196116124420488], [-1.2847982714270845, -31.639637654992253, 27.62231343349249], [-11.502685067831344, -30.069837021688972, 23.063027249212713], [-9.39077580278325, -17.767060871861787, -35.25447476890441], [-21.22701138028889, -38.381691480662745, -6.716960537929308], [-30.27275207590004, 30.203331353448874, 12.350906231537456]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[118.9367409811847, -3.3032424905932065, 171.52589606878442]","[0, 0, 0]","[-0.814145258807684, -1.8193310916320313, -0.2450292402871272]","[0, 0, 0]"
63,63,baseline_20260822_180915,1787418617,5.0,398000000000000.0,7084925.646324347,0.039861831654343254,0.08726646259971647,266.1857270522283,"[103522.27635366996, 235668.06462664713, 322557.2337904549]",56,567.7714635865688,7.832830527371467e-05,"[[20.75710461328726, -12.049931634389674, -14.700885359446657], [-19.5132470822824, 14.507967390552817, 26.81425431556967], [5.363591209200733, 4.505804753346768, 0.06597450658070156], [5.728404152433774, -5.192163650327614, -4.418402425245254], [-9.092125841054155, -28.798408396890572, -28.1570071897247], [-42.53123899424863, -10.745919096945963, -2.2496480850438973]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[279.14673876436086, -175.80263555423204, -195.2971283416028]","[0, 0, 0]","[-1.5725452164652087, 0.3895819497631796, 0.3257669235321529]","[0, 0, 0]"
64,64,baseline_20260822_180915,1787418618,5.0,398000000000000.0,8209176.7213114025,0.17034519906540263,0.08726646259971647,262.3712249332083,"[132567.8813578923, 458270.2606622597, 531013.4396746705]",34,346.47516501863447,2.7688404721869333e-05,"[[6.732897826566266, 5.8630362781740315, -12.26866010790242], [25.41032772688365, -20.46915934148612, 18.77594241749689], [13.509489004876215, 2.425581472155452, 14.89068597066082], [-5.382103362051885, -22.509518572884364, -41.07999964034865], [2.9623112320832776, 1.3123226675332966, -20.440169586204288], [-18.03509110490042, -14.719398897071402, 38.21624625382039]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-207.8376198167785, 68.60540592402278, 122.92746269634488]","[0, 0, 0]","[1.2821023761703099, 1.1401075425035656, -1.1224427643939032]","[0, 0, 0]"
65,65,baseline_20260822_180915,1787418619,5.0,398000000000000.0,7628667.017343563,0.20272469930416806,0.08726646259971647,377.64349945838404,"[282141.0856128101, 399493.19189502165, 404916.2442610787]",30,304.2247004826563,6.161832023203364e-05,"[[-11.83174849789639, -21.374242414145737, -27.252420078446995], [26.780452182800488, 11.552310068957873, -12.67882850248133], [22.657898179539085, 25.83836865253174, 6.925686479993322], [-2.963002513853906, 24.152890436560615, -39.090741959984754], [-29.338689684659215, 31.595814031950304, 18.036681140567122], [-0.9109298724470808, -7.8899265790800435, 6.92844849410372]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-35.51998129368595, 575.4836776595182, -627.5564098909583]","[0, 0, 0]","[-2.04525654329518, 2.175641561866167, -0.09455301338842706]","[0, 0, 0]"
66,66,baseline_20260822_180915,1787418620,5.0,398000000000000.0,8116357.966639186,0.2747832627491652,0.08726646259971647,317.0301404773409,"[203227.45838223302, 288581.962711439, 342232.1695589609]",79,797.8686659837201,1.0252607695378117e-05,"[[-35.74031576687179, -3.4152896496947482, -5.766536806917677], [-23.46779170419224, 7.164510087297801, 6.572095097482227], [-16.75535888751188, -19.875871834913518, 8.002146722354775], [-3.5982703612753553, 2.892338975475542, 6.655115561534402], [-12.9519867833601, 15.463600763930197, 42.60567189841164], [-1.2742204414000584, -2.434780836705216, -6.513358193635547]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-126.68242007750445, -941.3757286021479, -41.75893761318205]","[0, 0, 0]","[0.7333302966296307, -2.055092831790463, 1.0036333559530637]","[0, 0, 0]"
